#    energy (eV)  cross sec. (b)
1.671582e+01    5.153056e+02
1.680400e+01    4.801957e+02
1.689259e+01    4.486498e+02
1.698118e+01    4.203283e+02
1.707102e+01    3.944616e+02
1.716086e+01    3.710983e+02
1.725112e+01    3.498291e+02
1.734223e+01    3.303234e+02
1.743334e+01    3.125527e+02
1.752530e+01    2.961706e+02
1.758690e+01    2.859832e+02
1.771009e+01    2.672878e+02
1.783502e+01    2.503425e+02
1.795995e+01    2.351463e+02
1.808664e+01    2.212832e+02
1.821333e+01    2.087666e+02
1.834181e+01    1.972737e+02
1.847029e+01    1.868416e+02
1.860058e+01    1.772142e+02
1.873087e+01    1.684319e+02
1.886300e+01    1.602887e+02
1.899513e+01    1.528281e+02
1.919612e+01    1.426229e+02
1.939900e+01    1.335161e+02
1.960378e+01    1.253591e+02
1.981048e+01    1.180247e+02
2.002010e+01    1.113761e+02
2.023169e+01    1.053580e+02
2.044527e+01    9.989537e+01
2.066084e+01    9.491807e+01
2.087946e+01    9.034908e+01
2.110013e+01    8.616521e+01
2.139781e+01    8.110960e+01
2.169970e+01    7.657248e+01
2.200584e+01    7.248478e+01
2.231630e+01    6.879043e+01
2.263115e+01    6.543546e+01
2.295043e+01    6.238083e+01
2.327422e+01    5.959106e+01
2.360258e+01    5.703563e+01
2.393557e+01    5.468830e+01
2.444328e+01    5.151367e+01
2.496299e+01    4.868394e+01
2.549250e+01    4.616358e+01
2.603452e+01    4.389141e+01
2.658675e+01    4.184588e+01
2.715203e+01    3.998751e+01
2.772798e+01    3.830123e+01
2.851588e+01    3.627043e+01
2.932617e+01    3.445748e+01
3.015949e+01    3.282716e+01
3.101648e+01    3.135357e+01
3.212284e+01    2.969538e+01
3.326703e+01    2.821097e+01
3.445366e+01    2.686718e+01
3.568087e+01    2.564416e+01
3.721246e+01    2.430474e+01
3.880978e+01    2.308192e+01
4.047568e+01    2.196390e+01
4.162581e+01    2.129631e+01
4.251085e+01    2.089071e+01
4.303327e+01    2.075135e+01
4.325792e+01    2.073621e+01
4.363666e+01    2.081969e+01
4.385239e+01    2.096658e+01
4.403135e+01    2.117771e+01
4.419272e+01    2.147142e+01
4.433651e+01    2.185364e+01
4.446533e+01    2.233541e+01
4.457920e+01    2.291761e+01
4.466139e+01    2.346344e+01
4.473716e+01    2.409105e+01
4.481292e+01    2.487458e+01
4.488227e+01    2.577060e+01
4.494840e+01    2.683485e+01
4.499249e+01    2.769006e+01
4.503162e+01    2.857042e+01
4.506578e+01    2.945110e+01
4.509994e+01    3.045619e+01
4.513411e+01    3.160958e+01
4.516744e+01    3.290687e+01
4.519996e+01    3.436964e+01
4.523248e+01    3.607009e+01
4.525686e+01    3.753398e+01
4.528125e+01    3.919190e+01
4.530469e+01    4.100265e+01
4.532813e+01    4.306871e+01
4.535156e+01    4.544349e+01
4.537500e+01    4.819611e+01
4.539062e+01    5.028480e+01
4.540625e+01    5.261491e+01
4.542187e+01    5.522736e+01
4.543750e+01    5.817186e+01
4.545312e+01    6.150883e+01
4.546484e+01    6.431278e+01
4.547656e+01    6.741518e+01
4.548828e+01    7.085837e+01
4.550000e+01    7.469109e+01
4.551172e+01    7.896932e+01
4.552344e+01    8.375702e+01
4.553516e+01    8.912701e+01
4.554688e+01    9.516168e+01
4.555859e+01    1.019537e+02
4.557031e+01    1.096066e+02
4.557812e+01    1.152429e+02
4.558594e+01    1.213494e+02
4.559375e+01    1.279648e+02
4.560477e+01    1.382373e+02
4.561578e+01    1.497258e+02
4.562312e+01    1.581238e+02
4.563047e+01    1.671594e+02
4.563781e+01    1.768731e+02
4.564516e+01    1.873063e+02
4.565563e+01    2.035058e+02
4.566500e+01    2.194249e+02
4.567437e+01    2.367668e+02
4.568375e+01    2.556136e+02
4.569313e+01    2.760426e+02
4.570250e+01    2.981240e+02
4.571187e+01    3.219190e+02
4.572125e+01    3.474776e+02
4.573063e+01    3.748358e+02
4.574000e+01    4.040139e+02
4.575250e+01    4.457483e+02
4.576500e+01    4.906629e+02
4.577750e+01    5.386272e+02
4.579000e+01    5.894282e+02
4.580750e+01    6.647223e+02
4.583250e+01    7.785549e+02
4.587375e+01    9.706780e+02
4.589250e+01    1.053632e+03
4.591125e+01    1.129875e+03
4.592375e+01    1.175559e+03
4.593625e+01    1.216186e+03
4.595000e+01    1.254161e+03
4.596500e+01    1.286604e+03
4.597825e+01    1.306782e+03
4.598976e+01    1.317491e+03
4.600260e+01    1.321755e+03
4.601318e+01    1.319120e+03
4.602875e+01    1.305264e+03
4.604375e+01    1.281080e+03
4.605875e+01    1.246980e+03
4.607125e+01    1.211679e+03
4.608375e+01    1.170832e+03
4.610250e+01    1.100829e+03
4.612125e+01    1.022808e+03
4.614625e+01    9.112306e+02
4.618688e+01    7.266890e+02
4.620375e+01    6.534445e+02
4.621625e+01    6.016205e+02
4.622875e+01    5.522822e+02
4.624125e+01    5.057057e+02
4.625375e+01    4.620823e+02
4.626625e+01    4.215250e+02
4.627875e+01    3.840762e+02
4.628813e+01    3.580203e+02
4.629750e+01    3.336758e+02
4.630687e+01    3.110011e+02
4.631625e+01    2.899431e+02
4.632563e+01    2.704389e+02
4.633500e+01    2.524181e+02
4.634437e+01    2.358051e+02
4.635375e+01    2.205205e+02
4.636535e+01    2.033229e+02
4.637695e+01    1.878790e+02
4.638855e+01    1.740347e+02
4.640016e+01    1.616409e+02
4.641176e+01    1.505547e+02
4.642422e+01    1.399505e+02
4.643711e+01    1.302405e+02
4.645000e+01    1.216571e+02
4.646289e+01    1.140590e+02
4.647578e+01    1.073204e+02
4.648828e+01    1.015011e+02
4.650000e+01    9.660441e+01
4.651172e+01    9.218199e+01
4.652344e+01    8.817681e+01
4.653906e+01    8.340015e+01
4.655469e+01    7.917580e+01
4.657031e+01    7.541955e+01
